Pressure,Temperature,Salinity,Oxygen,Transmissometer,Biospherical PAR,Fluorometer ,Wetlabs OBS
155,9.455,34.645,281.03,98.77,0.45,0.409369265,0
156,9.458,34.646,281.12,98.77,0.43,0.410404475,0
157,9.461,34.646,281.24,98.77,0.41,0.411250758,0
158,9.459,34.646,281.16,98.78,0.4,0.41472125,0
159,9.459,34.646,281.02,98.78,0.38,0.393663097,0
160,9.457,34.645,281.07,98.78,0.36,0.398942039,0
161,9.454,34.645,281.12,98.77,0.35,0.405306064,0
162,9.451,34.644,281.18,98.77,0.34,0.411670088,0
163,9.448,34.644,281.23,98.76,0.32,0.418034112,0
164,9.444,34.643,281.32,98.76,0.31,0.424837345,0
165,9.443,34.643,281.24,98.74,0.3,0.42535372,0
166,9.446,34.643,281.17,98.74,0.29,0.394351044,0
167,9.449,34.643,281.12,98.74,0.28,0.4005,0
168,9.447,34.643,281.08,98.74,0.27,0.411627502,0
169,9.439,34.642,281.14,98.74,0.27,0.411641435,0
170,9.443,34.643,281.02,98.74,0.26,0.405902006,0
171,9.456,34.645,280.96,98.73,0.25,0.402466889,0
172,9.468,34.647,280.89,98.73,0.23,0.399124565,0
173,9.48,34.65,280.81,98.73,0.22,0.39578224,0
174,9.492,34.652,280.74,98.72,0.2,0.392439916,0
175,9.505,34.654,280.63,98.71,0.19,0.389038863,0
176,9.508,34.655,280.62,98.75,0.18,0.398650693,0
177,9.513,34.656,280.58,98.77,0.18,0.39210526,0
178,9.514,34.657,280.51,98.85,0.17,0.390325959,0
179,9.517,34.657,280.47,98.84,0.17,0.388236784,0
180,9.52,34.658,280.43,98.85,0.16,0.386388814,0
181,9.523,34.659,280.39,98.86,0.16,0.384540844,0
182,9.526,34.659,280.35,98.87,0.15,0.382692874,0
183,9.529,34.66,280.31,98.88,0.15,0.380844904,0
184,9.532,34.661,280.26,98.89,0.14,0.378774652,0
185,9.532,34.66,280.26,98.89,0.14,0.382156458,0
186,9.532,34.661,280.1,98.88,0.13,0.384926553,0
187,9.532,34.661,279.81,98.89,0.13,0.371199995,0
188,9.535,34.661,279.66,98.9,0.13,0.36811857,0
189,9.529,34.66,279.64,98.91,0.12,0.356599987,0
190,9.525,34.659,279.58,98.9,0.12,0.356013093,0
191,9.516,34.657,279.54,98.89,0.12,0.356599987,0
192,9.516,34.657,279.53,98.89,0.11,0.356599987,0
193,9.519,34.658,279.52,98.88,0.11,0.357753119,0
194,9.52,34.658,279.58,98.89,0.1,0.360613025,0
195,9.52,34.658,279.62,98.88,0.1,0.363102795,0
